0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-35.881462,10.914532,-31.094799,8.151371,-34.090492,6.57042,-31.525766,12.150032,-36.480335,6.8102603,-45.143013,12.645469,-27.061905,9.555081,-28.484484,16.465467,-39.599415,8.873982,-31.035744,14.556587,-34.50096,9.46999,-44.33099,7.0327096,-34.31796,8.3806505,-34.12647,8.063674,-33.77836,11.328978,-34.467854,8.306504
-75.10566,32.67565,-85.559395,31.179556,-40.102993,26.300808,-53.715218,24.183475,-43.440792,27.37081,-58.702053,87.511696,-26.463768,23.624458,-78.77904,30.70576,-88.93201,48.59553,-67.88204,26.20667,-77.185936,30.91134,-89.38099,52.32918,-42.37478,26.071056,-38.672184,25.910187,-72.82301,31.609085,-42.253838,25.95153
-53.613655,6.141681,-66.57914,0.7926252,-46.26244,-14.536235,-49.23276,-10.221104,-49.28206,-14.603993,-84.74738,-10.931951,-44.386784,-10.633603,-57.13424,5.5929523,-76.54193,-1.3530142,-49.21348,-9.239342,-53.887894,6.3750687,-82.15447,-4.5818577,-49.086372,-11.129299,-46.534466,-14.360078,-52.055912,-2.4391015,-48.46839,-11.343966
-55.779667,-10.29695,-64.86759,-16.825495,-46.535923,-3.3652265,-52.921,0.04542699,-50.02641,-5.0368304,-74.30051,-23.872463,-44.798405,-1.3940394,-57.5748,-11.690222,-70.08138,-21.381878,-52.300232,0.23777017,-54.991512,-11.102412,-70.05415,-25.372118,-51.986797,-1.2700721,-46.31015,-3.6260607,-60.00918,-3.603268,-51.6661,-1.9159896
-56.657505,-38.81852,-62.607002,-52.339417,-46.01226,-41.27453,-50.906334,-42.295513,-47.407356,-43.80686,-62.020485,-74.254745,-45.318443,-38.757046,-60.921917,-41.773067,-63.806385,-64.196846,-52.892838,-41.945732,-59.980747,-40.19908,-61.30651,-69.90229,-48.98308,-42.05055,-45.42307,-41.608494,-54.611176,-38.27929,-48.336704,-41.86821
54.231705,-6.3819833,67.68096,-15.234806,44.29369,-5.782037,59.682922,-10.816289,54.124866,-10.750819,48.52868,-35.793533,44.09859,-10.108998,58.834732,-7.386546,46.460373,-0.019790826,51.847736,-2.9647837,55.188957,-8.332617,47.900524,-2.9283583,55.276352,-11.140986,43.50934,-5.5605626,52.93229,-4.586732,54.35381,-10.99934
-56.71207,-56.083855,-52.52962,-76.36654,-37.38844,-58.875626,-46.517616,-58.671906,-42.15606,-58.450012,-19.271303,-91.61862,-37.34352,-55.858257,-57.422783,-64.030815,-41.316284,-86.88352,-47.520042,-60.60647,-56.61289,-61.860687,-33.64191,-88.12776,-44.34595,-57.64851,-36.553696,-58.714127,-54.716286,-55.885815,-43.70761,-57.422413
-19.792616,-25.61286,-13.747074,-30.596954,-21.925585,-22.273455,-23.510666,-23.809345,-23.758503,-23.453224,-26.052547,-32.213882,-22.813297,-22.397158,-21.84314,-28.096832,-26.516798,-31.279024,-21.058392,-23.843208,-21.201847,-27.169823,-26.232697,-29.884283,-23.383688,-22.942327,-22.466589,-22.94942,-20.678707,-26.099688,-23.275326,-23.06757
77.98678,1.3209001,88.2043,-8.053996,62.51452,-4.272031,71.38555,-5.3123527,65.568436,-5.325487,76.96671,-51.34458,59.808575,-5.4713593,79.48437,2.1169426,93.61394,-21.468699,74.24089,-1.6602904,78.11732,0.5483871,92.21474,-22.934772,67.45511,-5.246655,61.501633,-5.225819,76.007095,-0.0063752723,66.8939,-5.3251224
-75.650085,0.47638795,-90.55021,-8.260175,-58.920033,1.3302379,-69.08542,0.63593036,-63.40637,1.2618684,-96.65957,-32.746593,-56.761574,2.8428864,-79.794876,-1.156671,-96.774315,-15.956212,-69.10583,2.3806942,-76.36173,-0.3450259,-97.18279,-24.298067,-65.61747,0.53884923,-58.09438,1.8542668,-74.15551,3.660493,-66.50374,0.2160036
-33.688965,-57.60247,-28.73319,-65.84891,-23.223238,-51.663296,-25.513086,-55.838665,-22.814615,-54.708782,-4.1720567,-75.02358,-23.998796,-48.604515,-34.757816,-59.369225,-19.092987,-69.098015,-29.547705,-56.214626,-34.522167,-58.026325,-17.903101,-73.28298,-24.258362,-54.606373,-23.04812,-50.755142,-33.14721,-57.289894,-24.003378,-54.617813
